1,2,3,4,5,6,7
-0.0002,0.251089,-0.88529,1.966484,-1.28902,-1.889131546,-0.754806519
-0.83027,-0.13954,-1.73979,0.42025,-1.86885,-0.839326859,-1.273605347
0.805468,-0.88416,-1.51599,0.705085,-1.65523,1.016141891,-1.21257019
1.196093,1.288687,-1.31254,0.054039,-0.37349,1.992704391,-0.663253784
0.658984,-1.36024,-1.33289,0.216804,0.145308,2.114774704,-0.541183472
-0.58613,-0.9452,-1.12943,0.62371,-0.09883,1.650907516,0.038650513
0.585742,-0.05409,-0.60046,1.152672,0.572554,-2.279756546,-0.022384644
0.658984,-2.30018,-1.14978,0.989921,0.664107,-0.595186234,0.191238403
-1.26973,0.263296,-0.82426,0.42025,0.75566,1.431180954,-0.449630737
0.658984,-1.73866,-0.90564,0.298179,0.450484,1.235868454,-0.449630737
2.343554,-0.66444,-0.39702,0.786461,0.267379,1.602079391,-0.785324097
-0.65938,0.202261,-0.53943,0.867851,-0.46504,2.603055954,0.374343872
0.292773,1.557241,-0.90564,1.396812,-0.34297,2.236845016,-0.113937378
1.29375,0.849234,-1.31254,0.786461,-0.5566,0.747587204,-1.151535034
-0.53731,0.129019,-1.37357,-0.23078,0.053755,0.430204391,-0.174972534
-1.12324,-2.17811,-0.86495,0.298179,0.816695,0.723173141,0.008132935
1.635547,-1.59217,-0.53943,0.460945,0.725142,2.017118454,-0.968429565
0.5125,0.873648,-0.43771,0.949226,-0.31246,2.041532516,-1.0599823
0.414843,-2.39784,-1.57703,0.66439,-0.06831,4.116727829,0.069168091
-0.46406,0.861441,-1.71944,0.867851,-0.0378,3.433134079,0.557449341
1.684375,-2.64198,-1.12943,1.437507,-1.01436,0.063993454,-0.510665894
1.879687,-0.85975,-0.33598,0.786461,-1.53316,0.063993454,-0.327560425
-1.14766,0.898062,-0.43771,1.885093,-0.64815,0.869657516,0.557449341
0.121875,1.337515,-0.96668,1.803718,-0.77022,4.629423141,1.167800903
-0.48848,-0.82313,-0.43771,0.66439,-1.13643,3.848173141,0.557449341
0.610156,-1.43348,0.437133,1.234062,-0.77022,2.798368454,1.411941528
-1.2209,-2.04383,-0.15288,1.193367,-0.34297,1.040555954,1.015213013
1.562304,0.983511,-0.78357,-0.51562,-0.00728,0.503446579,1.137283325
1.196093,1.471792,-0.86495,-0.9632,-0.43453,2.261259079,0.771072388
-0.04902,-0.61561,-0.98702,0.257499,-0.77022,3.140165329,0.099685669
-0.09785,0.190054,-0.76323,1.356132,-0.92281,1.870634079,-0.022384644
-2.24629,-0.90858,-1.02771,0.54232,-0.58711,-0.326631546,0.771072388
-0.61055,1.337515,-1.08875,0.908531,-0.43453,0.308134079,0.954177856
-1.26973,-1.07948,-1.00736,0.338875,-0.83125,0.210477829,0.862625122
-0.07344,0.714956,-0.94633,0.257499,-0.19039,-0.888154984,0.282791138
0.683398,-0.45692,-0.76323,1.640953,-0.43453,0.308134079,-0.419113159
1.977343,0.397573,-0.53943,0.989921,-0.86177,-2.304170609,-0.602218628
0.781054,-0.0785,-0.51909,-0.10871,-1.2585,-2.084444046,-0.23600769
2.148242,-2.14149,-0.62081,-0.71906,-1.16695,-0.839326859,1.106765747
0.390429,1.72814,-0.51909,-1.41081,-0.77022,1.333524704,0.710037231
-1.58711,0.873648,0.009887,-0.1901,-0.34297,0.942899704,0.710037231
0.707812,-0.37147,-0.11218,0.013359,-0.12935,-1.278779984,-0.052902222
-0.17109,0.556265,-0.35632,0.460945,-0.67867,-1.474092484,-0.205490112
0.317187,-0.10291,-0.35632,0.298179,-0.83125,2.456571579,-0.144454956
2.099414,0.629507,0.23368,-0.35285,-0.95332,5.264188766,-1.334640503
-0.43965,0.775991,-0.78357,-0.51562,-0.92281,5.068876266,-0.510665894
0.243945,0.129019,-1.08875,0.745781,-1.31954,3.799345016,0.160720825
-0.97676,-1.83631,-0.29529,-0.35285,-0.67867,0.869657516,-0.205490112
0.976367,-1.16493,0.009887,-1.12597,-0.06831,-0.375459671,1.747634888
1.977343,-0.26161,-0.19357,0.176109,-0.98384,1.284696579,1.167800903
1.904101,1.252066,-0.43771,0.257499,-1.99092,0.967313766,0.465896606
-0.07344,-1.32362,-0.29529,0.745781,-2.44869,1.504423141,0.343826294
0.707812,-1.77528,-0.09184,1.356132,-2.8149,3.042509079,0.526931763
1.098437,-0.15174,0.23368,0.298179,-3.02852,4.482938766,0.801589966
-0.63496,-1.39686,-0.27495,0.37957,-2.05196,5.410673141,0.710037231
-1.07441,-1.49452,-0.33598,0.786461,-0.37349,3.213407516,-0.144454956
-0.48848,-1.55555,0.274371,1.193367,-0.09883,-1.644990921,0.710037231
2.099414,-1.06727,0.599891,-0.06803,-1.19747,-2.621553421,0.984695435
0.781054,-0.92079,-0.01046,-0.10871,-1.83833,-1.425264359,0.465896606
0.463672,-0.02967,-0.49874,0.786461,-1.68575,0.991727829,0.25227356
0.829882,0.531851,-0.64116,0.054039,-1.19747,1.431180954,-0.998947144
2.075,-0.67665,-0.6615,-0.88183,-1.44161,2.456571579,0.25227356
0.195117,0.299917,0.009887,-0.71906,-1.9604,1.626493454,1.259353638
-0.12227,2.521597,0.538855,-0.31217,-1.71626,1.553251266,2.266433716
0.366015,1.532827,0.172645,0.216804,-1.99092,2.480985641,0.191238403
0.732226,-0.4203,-0.05115,1.234062,-1.65523,3.018095016,-1.243087769
0.5125,0.031363,-0.0308,0.989921,-1.07539,1.113798141,-1.151535034
0.170703,0.080191,0.03023,0.745781,-1.38057,0.796415329,0.984695435
-1.2209,-0.11512,0.152301,-0.10871,-1.50264,0.942899704,1.411941528
-0.0002,-2.08045,-0.0308,-0.23078,-1.86885,2.334501266,0.984695435
-0.56172,-4.11903,-0.35632,-0.43424,-1.59419,1.187040329,1.686599731
2.294726,-0.90858,-0.23425,-0.80045,-1.41109,-1.498506546,1.350906372
1.049609,-1.42127,0.742309,0.460945,-1.28902,-0.302217484,1.8697052
-0.02461,-0.20057,0.823687,2.047859,-1.22798,-0.619600296,1.564529419
0.292773,0.299917,0.742309,1.111992,-0.98384,0.576688766,1.106765747
0.146289,-0.51795,0.376098,-0.14941,-0.83125,2.700712204,1.167800903
-1.73359,-1.84852,0.315062,-0.35285,-1.56368,0.942899704,1.472976685
-0.19551,-0.18836,0.009887,-0.59699,-1.89937,0.918485641,1.289871216
0.781054,-1.73866,0.192992,0.257499,-1.86885,0.479032516,1.442459106
1.391406,-1.76307,0.782996,0.176109,-2.11299,-0.302217484,1.595046997
0.683398,-0.82313,0.498168,-0.71906,-1.86885,0.088407516,1.320388794
-0.04902,-2.42225,-0.29529,-0.80045,-1.35005,-1.474092484,1.320388794
